name,address,city,state,zip,phone,website,google_maps_url,google_rating,google_review_count,place_id,latitude,longitude,hours,source
Dental Care of West Melbourne,"715 Palm Bay Rd NE Unit 107, West Melbourne",FL 32904,US,,(321) 410-8622,http://dentalcareofwestmelbourne.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17783223130450008449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1080,ChIJFaf9d6IN3ogRgZn7szezyvY,28.035867999999997,-80.65134599999999,Monday: 9:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 7:00 AM – 3:30 PM; Saturday: Closed; Sunday: Closed,google_places
Great Expressions Dental Centers - Melbourne,"205 Palm Bay Rd NE Ste 159, Melbourne",FL 32904,US,,(321) 218-4671,https://www.greatexpressions.com/dental-offices/dentist-in-melbourne-florida-palm-bay-rd/,https://maps.google.com/?cid=6992569681122640181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,767,ChIJayULcgwO3ogRNUF7phOZCmE,28.038650699999998,-80.664197,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Melbourne Family Dental,"2900 Lake Washington Rd Ste. 3, Melbourne",FL 32935,US,,(321) 780-2178,http://melbournefamilydental.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=9056209380612215562&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,1432,ChIJ8bt-15gP3ogRCpPzJnMern0,28.147174999999997,-80.670765,Monday: 7:00 AM – 4:00 PM; Tuesday: 7:00 AM – 4:00 PM; Wednesday: 7:00 AM – 4:00 PM; Thursday: 7:00 AM – 4:00 PM; Friday: 8:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,google_places
Coast Dental,"145 Palm Bay Rd NE Ste 104, West Melbourne",FL 32904,US,,(321) 728-8053,https://www.coastdental.com/dentist-office/west-melbourne-fl-32904?utm_source=gmb&utm_medium=organic,https://maps.google.com/?cid=149094218904143149&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,3.9,508,ChIJ4RJUUK4N3ogRLYXY82awEQI,28.037716999999997,-80.6692781,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
"Aspen Dental - West Melbourne, FL","249 Palm Bay Rd NE, West Melbourne",FL 32904,US,,(321) 482-5220,"https://www.aspendental.com/dentist/fl/west-melbourne/249-palm-bay-road-ne?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=West-Melbourne,FL-West-Melbourne_FL-1494&utm_content=listing",https://maps.google.com/?cid=9417904495788298284&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,1209,ChIJdY67a6wN3ogRLBAEoD0es4I,28.0361418,-80.6637226,Monday: 7:00 AM – 5:00 PM; Tuesday: 7:00 AM – 5:00 PM; Wednesday: 7:00 AM – 5:00 PM; Thursday: 7:00 AM – 5:00 PM; Friday: 7:00 AM – 5:00 PM; Saturday: 7:00 AM – 1:00 PM; Sunday: Closed,google_places
New Image Dentistry,"2235 W New Haven Ave, Melbourne",FL 32904,US,,(321) 956-5664,https://newimagedentistry.net/west-melbourne?y_source=1_MTQwNDUxNzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4361932258950521826&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,586,ChIJfSk0QQsO3ogR4iMQbUeyiDw,28.0776893,-80.6587024,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Babcock Dental Center LLC,"4070 S Babcock St Suite 104, Melbourne",FL 32901,US,,(321) 984-1991,http://www.babcockdentalcenterpalmbay.com/,https://maps.google.com/?cid=7646141312057083928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,351,ChIJKQiFIWUS3ogRGAiaJwONHGo,28.0475033,-80.6223476,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
Dental Partners - Melbourne,"2419 S Babcock St, Melbourne",FL 32901,US,,(321) 956-7700,https://melbournedentalpartners.com/,https://maps.google.com/?cid=13803953223102147730&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,482,ChIJG57l_PcR3ogRkqwc51F-kb8,28.071802599999998,-80.6208386,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 1:00 PM; Saturday: Closed; Sunday: Closed,google_places
New Image Dentistry,"5132 Minton Rd STE A, Palm Bay",FL 32907,US,,(321) 725-9595,https://newimagedentistry.net/minton?y_source=1_MTQwNDUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4569755273363660051&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,694,ChIJ4VCWL6oN3ogREx1PozUIaz8,28.030786799999998,-80.6721523,Monday: 8:00 AM – 5:00 PM; Tuesday: 8:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: 9:00 AM – 3:00 PM; Sunday: Closed,google_places
River Breeze Dental Care,"5201 Babcock St NE # 4, Palm Bay",FL 32905,US,,(321) 342-3368,http://riverbreezedentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17670827916267599115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,710,ChIJb3teoIgS3ogRC7UvpF1kO_U,28.020643,-80.621667,Monday: 8:00 AM – 5:00 PM; Tuesday: 9:00 AM – 5:00 PM; Wednesday: 8:00 AM – 5:00 PM; Thursday: 8:00 AM – 5:00 PM; Friday: 8:00 AM – 5:00 PM; Saturday: Closed; Sunday: Closed,google_places
