name,address,city,state,zip,phone,website,google_maps_url,google_rating,google_review_count,place_id,latitude,longitude,hours,source
Dentists of Palm Bay,"195 Malabar Rd Suite A-2, Palm Bay",FL 32907,US,,(321) 541-4085,https://dentistsofpalmbay.com/,https://maps.google.com/?cid=9768984233081406543&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,116,ChIJCbSGDc8N3ogRT4Q11WZnkoc,27.999492999999998,-80.67542209999999,"Monday: 9:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 9:00 AM – 5:00 PM,Thursday: 9:00 AM – 5:00 PM,Friday: 8:00 AM – 2:00 PM,Saturday: Closed,Sunday: Closed",google_places
Ultimate Smile Design,"730 Emerson Dr NE, Palm Bay",FL 32907,US,,(321) 984-7878,https://www.ultimatesmiledesign.net/,https://maps.google.com/?cid=3323283212840497633&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,255,ChIJg_s1xg0N3ogR4XFgfXmsHi4,28.018301,-80.6592156,"Monday: 7:30 AM – 4:30 PM,Tuesday: 7:30 AM – 4:30 PM,Wednesday: 7:30 AM – 4:30 PM,Thursday: 7:30 AM – 4:30 PM,Friday: 7:30 AM – 4:30 PM,Saturday: Closed,Sunday: Closed",google_places
Palm Bay Dental Center,"1764 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 725-5512,https://palmbaydental.com/contact-us?y_source=1_MTQwNDUxNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=17542787159033871359&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,594,ChIJo46W9WQS3ogR_3t_uPl_dPM,28.0339557,-80.6190247,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Smile Care Dentistry,"190 Malabar Rd SW ste 104, Palm Bay",FL 32907,US,,(321) 342-2760,https://www.palmbaysmilecare.com/,https://maps.google.com/?cid=7349739762437871670&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,5,312,ChIJb1h_3v8N3ogRNlisk1-F_2U,27.9967831,-80.67507289999999,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: Closed,Saturday: Closed,Sunday: Closed",google_places
Smile Today Dentistry,"3420 Bayside Lakes Blvd SE Ste 1, Palm Bay",FL 32909,US,,(321) 515-4656,http://smiletodaydentistry.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17195987708084068965&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1261,ChIJY3O2luxy3ogRZaJVVrZrpO4,27.951259999999998,-80.656587,"Monday: 9:00 AM – 6:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 7:00 AM – 4:00 PM,Saturday: Closed,Sunday: Closed",google_places
New Image Dentistry,"5132 Minton Rd STE A, Palm Bay",FL 32907,US,,(321) 725-9595,https://newimagedentistry.net/minton?y_source=1_MTQwNDUxNzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=4569755273363660051&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,694,ChIJ4VCWL6oN3ogREx1PozUIaz8,28.030786799999998,-80.6721523,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 9:00 AM – 3:00 PM,Sunday: Closed",google_places
"Dr. Syed Quadri, DMD | Palm Bay Dentist","2090 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 984-2255,https://drquadri.com/,https://maps.google.com/?cid=12225014472231200144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,776,ChIJuza452cS3ogRkKVZP-T5p6k,28.034523399999998,-80.611909,"Monday: 8:00 AM – 5:30 PM,Tuesday: 8:00 AM – 5:30 PM,Wednesday: 8:00 AM – 5:30 PM,Thursday: 8:00 AM – 5:30 PM,Friday: 8:00 AM – 5:30 PM,Saturday: Closed,Sunday: Closed",google_places
Dental Care of West Melbourne,"715 Palm Bay Rd NE Unit 107, West Melbourne",FL 32904,US,,(321) 410-8622,http://dentalcareofwestmelbourne.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17783223130450008449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1080,ChIJFaf9d6IN3ogRgZn7szezyvY,28.035867999999997,-80.65134599999999,"Monday: 9:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 7:00 AM – 3:30 PM,Saturday: Closed,Sunday: Closed",google_places
"Bright Now! Dental & Orthodontics - Palm Bay, FL","1051 Port Malabar Blvd NE, Palm Bay",FL 32905,US,,(321) 729-6060,https://www.brightnow.com/dental-office/palm-bay-dentist/21050/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,https://maps.google.com/?cid=10632183742902328569&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4,545,ChIJudUkS48S3ogR-VxgTsgajZM,28.0195152,-80.62106229999999,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 8:00 AM – 2:00 PM,Sunday: Closed",google_places
River Breeze Dental Care,"5201 Babcock St NE # 4, Palm Bay",FL 32905,US,,(321) 342-3368,http://riverbreezedentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17670827916267599115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,710,ChIJb3teoIgS3ogRC7UvpF1kO_U,28.020643,-80.621667,"Monday: 8:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
New Image Dentistry,"1890 Palm Bay Rd NE Ste 2, Palm Bay",FL 32905,US,,(321) 724-5100,https://newimagedentistry.net/palm-bay?y_source=1_MTQwNDUxNzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=14025709786155190579&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,482,ChIJ8Q-72GUS3ogRMwmANr1UpcI,28.0345414,-80.61610379999999,"Monday: 8:00 AM – 2:00 PM,Tuesday: 7:00 AM – 7:00 PM,Wednesday: 7:00 AM – 5:00 PM,Thursday: 7:00 AM – 7:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Great Expressions Dental Centers - Melbourne,"205 Palm Bay Rd NE Ste 159, Melbourne",FL 32904,US,,(321) 218-4671,https://www.greatexpressions.com/dental-offices/dentist-in-melbourne-florida-palm-bay-rd/,https://maps.google.com/?cid=6992569681122640181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,767,ChIJayULcgwO3ogRNUF7phOZCmE,28.038650699999998,-80.664197,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Bayside Dental,"3440 Bayside Lakes Blvd SE, Palm Bay",FL 32909,US,,(321) 726-8884,https://baysidedentalcenter.com/,https://maps.google.com/?cid=14931412515890372390&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,222,ChIJqcB78exy3ogRJp93vJIIN88,27.9519175,-80.65712049999999,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Beautiful You Dental,"2156 Julian Ave NE, Palm Bay",FL 32905,US,,(321) 724-9300,https://www.beautifulyoudental.com/,https://maps.google.com/?cid=15115401332703468122&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.9,237,ChIJMySYq10S3ogRWppBYW2xxNE,28.0327512,-80.6079694,"Monday: 8:00 AM – 4:30 PM,Tuesday: 8:00 AM – 4:30 PM,Wednesday: 8:00 AM – 4:30 PM,Thursday: 8:00 AM – 4:30 PM,Friday: Closed,Saturday: Closed,Sunday: Closed",google_places
