name,address,city,state,zip,phone,website,google_maps_url,google_rating,google_review_count,place_id,latitude,longitude,hours,source
Coast Dental,"145 Palm Bay Rd NE Ste 104, West Melbourne",FL 32904,US,,(321) 728-8053,https://www.coastdental.com/dentist-office/west-melbourne-fl-32904?utm_source=gmb&utm_medium=organic,https://maps.google.com/?cid=149094218904143149&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,3.9,509,ChIJ4RJUUK4N3ogRLYXY82awEQI,28.037716999999997,-80.6692781,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Dental Care of West Melbourne,"715 Palm Bay Rd NE Unit 107, West Melbourne",FL 32904,US,,(321) 410-8622,http://dentalcareofwestmelbourne.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17783223130450008449&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1080,ChIJFaf9d6IN3ogRgZn7szezyvY,28.035867999999997,-80.65134599999999,"Monday: 9:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 7:00 AM – 3:30 PM,Saturday: Closed,Sunday: Closed",google_places
Babcock Dental Center LLC,"4070 S Babcock St Suite 104, Melbourne",FL 32901,US,,(321) 984-1991,http://www.babcockdentalcenterpalmbay.com/,https://maps.google.com/?cid=7646141312057083928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,351,ChIJKQiFIWUS3ogRGAiaJwONHGo,28.0475033,-80.6223476,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Great Expressions Dental Centers - Melbourne,"205 Palm Bay Rd NE Ste 159, Melbourne",FL 32904,US,,(321) 218-4671,https://www.greatexpressions.com/dental-offices/dentist-in-melbourne-florida-palm-bay-rd/,https://maps.google.com/?cid=6992569681122640181&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,767,ChIJayULcgwO3ogRNUF7phOZCmE,28.038650699999998,-80.664197,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Bayside Dental,"3440 Bayside Lakes Blvd SE, Palm Bay",FL 32909,US,,(321) 726-8884,https://baysidedentalcenter.com/,https://maps.google.com/?cid=14931412515890372390&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,222,ChIJqcB78exy3ogRJp93vJIIN88,27.9519175,-80.65712049999999,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
"Dr. Syed Quadri, DMD | Palm Bay Dentist","2090 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 984-2255,https://drquadri.com/,https://maps.google.com/?cid=12225014472231200144&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,776,ChIJuza452cS3ogRkKVZP-T5p6k,28.034523399999998,-80.611909,"Monday: 8:00 AM – 5:30 PM,Tuesday: 8:00 AM – 5:30 PM,Wednesday: 8:00 AM – 5:30 PM,Thursday: 8:00 AM – 5:30 PM,Friday: 8:00 AM – 5:30 PM,Saturday: Closed,Sunday: Closed",google_places
Palm Bay Dental Center,"1764 Palm Bay Rd NE, Palm Bay",FL 32905,US,,(321) 725-5512,https://palmbaydental.com/contact-us?y_source=1_MTQwNDUxNzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=17542787159033871359&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,594,ChIJo46W9WQS3ogR_3t_uPl_dPM,28.0339557,-80.6190247,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
Smile Today Dentistry,"3420 Bayside Lakes Blvd SE Ste 1, Palm Bay",FL 32909,US,,(321) 515-4656,http://smiletodaydentistry.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17195987708084068965&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,1261,ChIJY3O2luxy3ogRZaJVVrZrpO4,27.951259999999998,-80.656587,"Monday: 9:00 AM – 6:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 7:00 AM – 4:00 PM,Saturday: Closed,Sunday: Closed",google_places
Dental Partners - Melbourne,"2419 S Babcock St, Melbourne",FL 32901,US,,(321) 956-7700,https://melbournedentalpartners.com/,https://maps.google.com/?cid=13803953223102147730&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,482,ChIJG57l_PcR3ogRkqwc51F-kb8,28.071802599999998,-80.6208386,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 1:00 PM,Saturday: Closed,Sunday: Closed",google_places
Capeside Dental,"4545 Durham Dr #101, West Melbourne",FL 32904,US,,(321) 499-2995,https://www.capesidefamilydentistry.com/?utm_source=GMB&utm_medium=organic&utm_campaign=DevOptimization&utm_content=Website,https://maps.google.com/?cid=3055043416264250478&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,189,ChIJcXtEaKIN3ogRbpTT_8yxZSo,28.0358979,-80.6446636,"Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 7:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 7:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: 10:00 AM – 2:00 PM,Sunday: Closed",google_places
River Breeze Dental Care,"5201 Babcock St NE # 4, Palm Bay",FL 32905,US,,(321) 342-3368,http://riverbreezedentalcare.com/?utm_source=gbp&utm_medium=organic&utm_campaign=yext_listing,https://maps.google.com/?cid=17670827916267599115&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,710,ChIJb3teoIgS3ogRC7UvpF1kO_U,28.020643,-80.621667,"Monday: 8:00 AM – 5:00 PM,Tuesday: 9:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Sunday: Closed",google_places
